Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,892.6898404,890.5690371,842.0628837,822.5529416,732.5046842,764.4457981,781.2668331,798.0551523,832.3130927,847.6607497,848.2737071,765.8041642,779.0772735,806.359198,791.2871384,813.1347616,825.2505259,918.4558353,1011.801626,1049.390414,1054.821849,1151.437748,1158.221033,1235.335941,1308.672715,1419.578842,1561.902595,1609.992125,1693.497558,1702.283149,1645.316437,1685.788578,1679.755809,1794.278437,1818.500551,1851.67462,1844.599121,1871.345503,
China,,,,,,,,,,,,465.7064219,477.9392829,484.5046148,486.865108,528.2034494,537.7813116,577.6979294,617.6047021,619.530343,609.9334003,597.6918859,607.3218128,622.4653331,651.655776,658.3992997,671.7423298,695.0033901,720.9244483,724.7137174,760.1897488,744.4854794,760.3534855,795.387122,822.4922074,868.7385619,890.4537801,883.335569,873.3057688,865.8646881,866.3828709,857.0216614,921.1105904,1042.196523,1206.273557,1299.891081,1412.182881,1489.082128,1597.719406,
Colombia,,,,,,,,,,,,630.7370211,616.8175244,606.4218365,628.1350731,642.3382246,652.9028143,656.9233265,669.9935122,641.7212143,689.2720889,682.9425986,686.4382214,693.1227118,701.4105957,697.7111746,709.5471222,718.773486,726.3415015,717.7412503,729.5239232,729.1626694,742.4455642,768.1170677,781.0897242,780.5752054,785.0112555,748.8409283,770.0467573,681.1889127,673.3981337,657.9005133,631.6287923,638.6242648,635.8311367,650.1159312,677.7565122,664.0750352,683.5940277,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,319.818025,318.8097768,320.6271215,320.0165614,318.8215271,314.3521456,314.6785077,313.9191591,318.0675317,311.5933942,317.6319457,309.1679992,320.0106154,326.6102931,316.9502968,313.6065679,316.4172983,317.7605063,314.8678767,318.725952,312.6696971,305.3523416,298.2923777,288.2664043,291.1779752,291.8984798,289.8479157,290.260894,289.0397682,328.1575206,329.8139724,331.1143427,332.8618869,335.4203975,338.0856145,340.7577055,343.2668477,346.2677434,
"Congo, Rep.",,,,,,,,,,,,370.7088988,372.4779111,377.1382884,372.4184254,367.5195269,388.7167161,362.1540536,364.9960566,359.9251492,361.4675583,356.2240676,368.6389715,396.1189381,369.1098852,374.6470263,354.0042141,350.4461175,329.6456569,334.2424448,325.7739072,324.7157148,318.1555483,310.5574864,275.5004098,282.4902413,276.5058548,256.3667592,256.8187601,241.7911079,279.3601598,299.3573966,284.9361252,316.7964367,319.3604889,353.5622864,341.0714578,351.1583014,378.4073256,
Costa Rica,,,,,,,,,,,,607.3762471,620.0280033,643.2229458,617.2753188,637.4004975,624.5778756,671.5559517,695.7852337,693.4393805,650.1651598,598.750574,568.9500637,543.8887695,606.3334423,618.097357,613.4739214,631.3270966,620.3603357,648.134788,657.8329715,664.489305,811.4905077,705.8140907,681.2185798,674.9758455,659.9494244,660.1890683,658.3289005,703.0384745,767.0071432,738.8683067,773.6053276,814.3014686,925.4338544,939.8474527,1027.362747,1116.896946,1083.616611,
Cote d'Ivoire,,,,,,,,,,,,448.2495444,454.0574082,447.4428417,445.2690755,447.0960732,459.1305469,445.8239602,454.2718397,438.0500288,424.4957065,403.6799185,384.0152513,358.474482,350.0325371,352.9160536,375.3484296,368.9071966,360.5073489,359.9680953,342.8163053,340.4751503,354.7665029,354.2700489,351.2680958,339.4332526,370.3537664,369.1614036,358.0419035,414.8072787,389.6657225,366.5189077,384.2908155,356.4663445,493.7515639,500.6010434,484.7659615,508.5277414,499.1427934,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883.891213,1618.181818,1502.684564,1485.991379,1474.83871,1509.959306,1610.146862,1705.5993,1788.935792,1749.451032,1759.828287,1788.963964,1855.855856,1984.009009,1988.961478,2003.601981,2013.288288,2101.217313,2046.684709,
Cuba,,,,,,,,,,,,1229.761722,1176.352099,1293.575203,1373.526103,1380.832941,1429.227765,1409.902029,1494.940546,1527.820123,1506.51915,1554.175752,1601.08082,1605.0907,1454.632719,1425.417371,1429.834423,1482.226714,1520.759245,1595.389538,1557.83705,1255.221107,1075.044411,925.5888053,954.0462066,939.5862796,998.3606511,1016.754066,957.7587755,987.5676438,1017.693783,1000.47995,954.5864454,928.2869857,891.604171,867.2235766,915.0873078,873.7609151,1075.973684,
Cyprus,,,,,,,,,,,,951.9068137,1210.958362,1273.845923,971.659919,927.3971164,1081.093534,1178.528043,1246.307238,1352.16272,1415.779145,1378.083441,1385.059334,1419.387952,1447.831926,1421.295016,1589.902894,1791.536617,1814.334594,1870.875418,1999.720833,2014.777939,2241.27697,2370.252625,2734.227532,2386.902386,2608.532879,2518.169829,2583.486085,2559.773152,2716.731481,2652.190441,2654.714875,2853.981868,2640.68002,2655.508745,2732.424734,2854.251629,2998.490319,
Czech Republic,,,,,,,,,,,,4629.603183,4623.908186,4558.752271,4194.171841,4340.656064,4447.149644,4729.753695,4446.875307,4730.160281,4588.252541,4582.521434,4643.697152,4651.435778,4742.588646,4762.36091,4837.53989,4974.971009,4872.827346,4734.317699,4704.718711,4282.665632,4165.535957,4035.911335,3899.9613,3958.764882,4088.317984,4120.592774,3983.525823,3727.511427,3918.117839,4034.722222,4097.168279,4349.017895,4452.714248,4386.943587,4463.959668,4429.77465,4281.519705,4140.24063
Denmark,1922.28771,2024.078091,2296.750592,2503.202391,2601.271186,2823.245061,3067.111296,3058.896466,3202.383398,3700.265794,3971.190911,3728.591578,3858.373397,3781.561131,3489.791873,3453.162055,3745.318352,3830.38522,3894.788401,4019.933555,3735.116143,3381.101132,3422.235248,3233.281189,3353.286385,3773.953852,3823.081429,3819.777648,3641.7154,3413.987921,3373.929961,3735.351184,3563.249516,3645.789169,3760.422671,3716.717674,4170.657545,3848.06083,3774.759479,3604.361706,3481.694266,3575.668869,3527.186559,3725.886708,3589.217683,3471.764472,3714.362644,3599.052118,3460.377045,3226.4657
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,495.0420722,561.3269778,573.9951181,588.1583215,585.6709639,590.4079842,589.7031104,590.5789141,599.3854874,579.5658739,585.8053092,584.7917407,633.5871778,659.9157267,548.9322717,559.8542757,619.7542257,573.4974099,548.5688278,556.1683217,548.3621237,635.5224201,635.2590763,711.3492806,725.6576927,742.492768,807.7305269,847.3541498,849.041698,875.2151372,861.8367837,887.1560158,860.3513563,816.2573509,806.3194804,810.1300891,816.2070806,820.0780672,
East Asia & Pacific (all income levels),,,,,,,,,,,,661.9482754,682.38687,714.8088977,714.8718641,728.4962074,751.238562,788.1196842,820.3207391,838.5203077,827.70144,810.3445048,816.6510672,826.0643823,862.8108913,869.6710251,886.6302305,907.6150963,946.4882438,964.5065828,1020.161495,1018.558201,1042.554523,1078.055293,1115.810356,1158.885078,1189.055192,1201.224336,1175.15092,1187.232585,1202.781566,1196.848486,1245.481523,1323.372673,1443.593676,1508.680517,1579.351264,1633.955288,1697.746639,
East Asia & Pacific (developing only),,,,,,,,,,,,447.4791122,456.8252341,463.6651157,465.4395597,498.4914177,507.2368369,541.2535449,574.9445004,580.251387,574.6275916,566.5659345,573.9660477,585.6989787,606.9762561,615.9018962,629.0793461,646.9458171,669.6753756,677.5844995,715.5692394,708.9101832,723.1480807,751.180537,774.2710496,814.6619658,834.1675495,836.2710266,822.14015,821.2332398,828.288781,826.9659143,875.9552005,966.5659896,1088.037872,1159.080255,1237.091471,1297.308789,1379.552599,
Ecuador,,,,,,,,,,,,373.456464,379.7362025,368.3752459,438.4317699,472.6713879,507.467035,582.3458481,583.0011732,595.0663333,631.8167179,642.3924017,675.001914,612.6292129,643.4960731,634.4098637,615.929472,613.656778,629.1022924,584.4707612,583.4516873,591.8281488,581.1296546,544.8694031,556.2655752,626.2073976,672.5749177,674.4491285,676.0553876,633.4197983,652.5422503,705.7830262,726.3176598,777.7042053,824.6539167,825.4158256,830.9451204,853.1821415,767.426349,
