nation,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Chad,642.7936182,635.0327669,653.4369472,737.3891803,732.9621191,868.1069459,808.3489045,764.8661832,855.5147214,869.0427305,806.8458465,848.9382402,889.1133029,726.7998414,776.0882616,761.3692742,753.9056033,771.4566416,798.6614049,767.056966,734.4322495,791.1969702,827.5660623,915.5801231,1181.664074,1342.031647,1304.656729,1270.752282,1231.951274,1180.600108
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,5365.50264,5535.556432,4887.012263,4626.786124,4914.3922,5177.721567,5377.164288,5636.454194,5946.759121,6461.888002,6583.242651,6980.31849,7694.915039,8084.434766,8398.173784,9139.75063,9668.982747,10162.41558,10351.95734,10143.69583,10470.16086,10696.67701,10806.80963,11107.24311,11652.53543,12171.53678,12598.96684,13044.77531,13390.46015,13056.8478
China,523.9503417,544.1802332,585.0214202,639.4814884,727.0800259,814.0747629,872.6367429,958.370245,1049.629519,1076.039695,1100.660116,1185.632802,1337.500256,1507.321839,1685.621014,1849.152946,2012.859669,2177.653978,2325.093165,2480.231883,2667.46983,2867.961663,3108.052321,3397.629006,3718.637608,4114.573523,4611.304001,5238.677459,5712.246577,6200.209383
Colombia,5295.151003,5294.99052,5228.096928,5195.998284,5255.652833,5303.892905,5497.078873,5673.97298,5785.542161,5864.847512,6098.177183,6117.780295,6304.91218,6334.696573,6582.105299,6799.854878,6816.22146,6926.291785,6845.341029,6446.229754,6617.413705,6618.845193,6676.270353,6829.206445,7082.504246,7305.009429,7675.402978,8084.302294,8184.637399,8135.55296
Comoros,1183.043789,1197.060326,1240.615311,1266.869476,1284.907141,1280.295923,1270.548077,1258.03724,1258.512341,1187.041353,1215.288303,1120.04889,1190.202289,1200.365053,1113.270108,1129.361731,1091.483517,1111.75094,1102.485579,1100.2217,1092.50874,1105.295307,1127.107818,1130.868409,1104.584901,1127.253692,1116.860403,1095.903905,1080.519168,1074.16454
"Congo, Dem. Rep.",774.4411137,770.2483887,745.2014183,734.4144092,752.8666885,734.091376,745.7007247,742.3868647,722.310688,689.1233242,620.5921101,546.2356455,468.9883674,389.4794112,360.3520762,350.986955,337.72095,311.0916883,299.2570213,279.9349478,254.0614142,241.8057738,242.7603512,248.938573,257.3821622,265.9482078,271.5495105,280.5878293,289.9364686,289.7988603
"Congo, Rep.",2923.855184,3333.250456,3993.945771,4099.554232,4253.646457,4077.969685,3686.507639,3586.676453,3546.025846,3535.825458,3471.967988,3456.996534,3449.885811,3325.740073,3066.853588,3120.658894,3194.022522,3122.86611,3188.039916,3053.38545,3222.958345,3272.334621,3340.676552,3283.640555,3316.902909,3496.501786,3637.197891,3513.816888,3643.817347,3848.329527
Costa Rica,6363.374038,6048.468508,5453.145687,5454.841215,5634.744261,5539.441737,5703.229313,5934.330071,6000.565502,6143.162651,6222.615983,6225.875368,6632.270547,6954.214155,7108.374932,7207.167921,7091.076229,7300.176359,7718.353093,8154.055015,8113.019952,8024.599435,8089.6752,8443.072679,8645.292737,9001.954587,9642.238715,10246.89471,10373.81422,10084.7171
Cote d'Ivoire,2645.342621,2614.65731,2504.24503,2303.081993,2147.692833,2154.516145,2139.314643,2053.088607,2001.799407,1987.713563,1896.510402,1830.552139,1762.515269,1699.013382,1655.941923,1717.206873,1792.810605,1838.813542,1871.365115,1850.187256,1737.364522,1697.070976,1636.990149,1578.474454,1573.861841,1560.056025,1536.511291,1527.955473,1526.246393,1544.820824
Croatia,,,,,,,,,,,13384.12633,11193.88245,9971.146349,8834.900882,9333.436331,9923.070813,10919.83458,11435.90256,11845.92257,11585.9581,12368.10885,12779.86233,13403.29797,14123.19817,14709.57851,15328.7603,16092.51698,16922.03205,17335.97686,16337.85623
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,11183.58062,11323.16152,11894.73214,12455.57399,13372.02455,13855.45486,14204.80732,15043.92379,16172.33637,17210.52122,18095.13684,17763.13737,18922.68585,18600.50289,19294.71129,20103.87729,20151.80051,20334.77127,21100.00281,21876.5135,22736.56983,23389.25009,23585.58113,23622.38871,24048.23017,24403.11858,24928.72979,25657.30718,26268.47178,25758.99864
Czech Republic,,,,,,,,,,,16319.74462,14500.30346,14413.01757,14403.91659,14716.42938,15598.87807,16252.28398,16150.56992,16042.3111,16276.01227,16885.67278,17383.86922,17746.84851,18381.62282,19189.70215,20362.30307,21678.00053,22862.31422,23222.92068,22097.60544
Denmark,20789.98272,20609.61853,21391.76199,21976.21661,22900.6089,23812.91242,24957.30947,25000.3783,24950.11249,25078.38606,25446.80454,25707.69455,26134.40484,26015.37713,27368.44436,28083.25323,28692.69041,29485.91732,30027.57605,30691.5561,31666.028,31783.60923,31817.74463,31863.25303,32510.48449,33214.40603,34207.44542,34632.53161,34130.21129,32251.92288
Djibouti,,,,,,,,,,,2746.250906,2541.896328,2487.350823,2288.160041,2231.188782,2107.540513,1964.367537,1886.80094,1824.59541,1804.587618,1761.376466,1754.895944,1763.95755,1787.154277,1823.224031,1848.072918,1902.364996,1963.942395,2041.262322,2106.220303
Dominica,3391.778846,3736.701319,3905.164319,4024.6772,4258.244985,4328.657798,4651.469367,5021.751802,5468.795381,5474.303957,5782.865497,5838.868569,5962.982188,6050.840695,6107.732221,6180.794344,6415.882803,6524.276481,6871.475062,6945.219284,7012.189572,6772.641909,6501.003135,6630.556677,7021.528074,7205.148306,7613.698665,7939.8497,8176.52404,8066.221778
Dominican Republic,3681.474082,3751.493942,3728.858078,3813.937803,3776.206737,3615.42246,3662.406,3947.711086,3948.853721,4037.954504,3740.352835,3700.116741,4008.485939,4214.99888,4231.172465,4382.696433,4613.22502,4898.418312,5155.898376,5413.710854,5629.230677,5641.282417,5875.612824,5771.474848,5759.521175,6200.220514,6762.327846,7230.815905,7504.529766,7657.988824
Ecuador,5792.060662,5824.423334,5636.195775,5348.554284,5409.431321,5424.923892,5504.17277,5253.836337,5556.646031,5479.476023,5497.674068,5654.096347,5615.105869,5514.278789,5659.613085,5652.49717,5688.770956,5824.661967,5858.779993,5412.274232,5489.339509,5708.318076,5878.053198,6016.964151,6424.995491,6736.060206,6923.304387,7123.3534,7560.269636,7507.620669
"Egypt, Arab Rep.",2431.785298,2460.426627,2635.396625,2756.96846,2847.694092,2954.639099,2950.833862,2943.016364,3016.416945,3085.960276,3184.572314,3148.45882,3221.104309,3250.748287,3316.516124,3405.599659,3508.575681,3632.185361,3708.304072,3861.203801,3992.291187,4055.718952,4073.504518,4124.252003,4212.393599,4318.851195,4529.439117,4762.117022,5011.10893,5151.034751
El Salvador,4380.059598,3861.782154,3566.292115,3571.975688,3572.513209,3548.561289,3510.862105,3555.106564,3577.169122,3564.987795,3686.017908,3761.768065,3983.490479,4211.91429,4403.801254,4627.999843,4658.65933,4815.089331,4960.469791,5100.908076,5183.416317,5247.982647,5349.922455,5453.935294,5536.07189,5686.733102,5902.153369,6148.713954,6270.465857,6019.852358
Equatorial Guinea,,,,,,2227.478999,2069.461882,2076.997277,2062.315494,1973.303143,1970.764175,1880.988546,2009.238631,2060.891805,2091.787337,2310.428813,2887.167214,4786.103832,5654.377921,7756.279315,8542.070538,13430.37447,15591.75165,17276.21719,23192.12653,24769.87762,24416.68085,28875.79102,31308.94453,28857.4582
Eritrea,,,,,,,,,,,,,535.0068123,607.9160843,735.958607,751.0363765,808.1056325,853.3506018,845.0277451,818.5673772,686.4293831,718.9442671,710.4168888,662.9164372,645.6544618,637.6124543,609.912411,598.5782851,523.9500305,527.1480436
Estonia,9047.990022,9109.547974,9564.52069,9846.096234,10055.1742,10039.34915,10077.5283,10350.12944,10577.86634,10860.59245,10087.0161,9327.63021,7487.399366,7241.819802,7273.807457,7773.925442,8281.824887,9281.268165,9875.906811,9938.105284,10936.75606,11821.62004,12820.54106,13800.68053,14990.16231,16547.92372,18434.21668,19772.69648,18772.52086,16132.49744
Ethiopia,,600.0474089,588.7432105,617.6964965,581.0046836,499.8173701,530.8043054,585.2842862,569.551829,549.2166236,545.7026885,489.8833031,432.420725,473.0522694,472.4621455,485.9881657,530.3537933,531.6028726,499.2731955,511.0668344,527.8138552,556.6943017,550.5089551,524.7665655,580.7057032,632.6861478,683.2368045,741.9646134,800.8828844,848.497051
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,3443.203613,3573.934651,3274.541695,3066.918675,3254.365472,3056.180798,3263.012922,3035.365983,3061.110973,3283.092555,3456.570655,3333.773932,3495.672015,3522.144662,3652.471237,3699.16101,3836.682025,3717.749468,3734.966459,4032.453374,3934.763801,3985.381284,4085.943079,4100.899954,4291.515905,4294.621354,4348.470318,4281.747532,4263.132067,4110.053227
Finland,17854.43423,18009.51674,18453.64745,18896.73919,19381.09477,19939.21955,20398.68827,21046.6724,22063.94683,23128.83767,23139.66587,21626.81287,20756.63791,20492.64545,21137.49486,21893.55552,22603.13887,23936.18354,25073.22785,25988.87043,27320.45691,27881.44725,28320.43735,28818.38266,29916.68179,30684.12528,31914.45825,33473.87857,33625.63117,30784.45863
France,20253.1432,20322.62311,20698.06628,20843.84937,21061.47127,21327.1431,21753.93036,22192.09608,23099.11326,23820.92779,24314.76179,24450.06201,24663.19246,24334.85021,24784.29908,25221.47806,25413.5528,25892.5763,26703.54919,27470.35013,28403.29804,28775.90079,28865.4188,28903.96491,29431.04623,29808.72031,30227.24671,30650.66522,30545.50913,29577.58519
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,17033.164,17388.54766,16358.59547,16764.3351,17482.41722,16556.92164,15923.29647,12789.61864,13988.12762,14710.62875,14986.85435,15396.39428,14444.23484,14541.01314,14620.16603,14899.05043,15009.81479,15450.19087,15582.94134,13847.43075,13271.236,13252.50299,12935.22659,12983.21822,12896.25561,13028.52135,12933.19974,13399.21858,13461.11739,13093.56606
"Gambia, The",1165.229708,1163.265323,1115.404392,1194.50386,1193.226921,1140.409675,1142.295264,1125.054677,1129.332091,1149.036752,1143.723804,1134.068188,1127.979815,1118.358315,1078.292263,1047.384932,1031.099463,1042.029022,1039.643166,1067.247622,1087.439601,1112.317603,1041.462383,1078.184339,1119.182933,1141.77737,1181.911209,1221.722951,1261.355071,1284.550171
Georgia,,,,,,,,,,,5682.567049,4517.924649,2523.097413,1815.171736,1656.763446,1729.524476,1952.9225,2188.238817,2284.62864,2378.861779,2452.705065,2602.867272,2779.178466,3135.332374,3327.087619,3610.482861,3916.398816,4409.464109,4516.286696,4335.193867
