nation,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Swaziland,2278.238902,2536.264795,2493.507396,2449.812996,2517.25146,2518.81993,2714.395471,2977.808551,3038.064644,3295.591586,3494.070845,3484.475252,3459.305226,3483.505678,3543.471923,3570.191243,3613.114044,3660.003156,3673.445095,3723.688967,4032.415171,4025.383759,4066.323018,4198.824063,4276.781552,4334.677568,4410.894634,4507.504409,4550.727701,4538.868318
Sweden,20327.44738,20262.40172,20493.24233,20847.09391,21727.87378,22171.30686,22759.7679,23475.02432,24003.11251,24509.58444,24563.79246,24128.9527,23700.24611,23075.49135,23831.67774,24629.20912,24992.32459,25650.54964,26722.00773,27949.52797,29155.71131,29440.75908,30070.46642,30662.87081,31833.46289,32723.03067,33916.97341,34782.1783,34371.18051,32314.13539
Switzerland,28536.10711,28881.10457,28332.47591,28358.55764,29141.36524,30034.60764,30387.89363,30576.54615,31463.64037,32509.41023,33417.2434,32672.68379,32348.51267,31995.37933,32117.15378,32014.50074,32065.40335,32666.32484,33424.5092,33720.46899,34713.3711,34891.89842,34782.45892,34456.99643,35087.65557,35784.08536,36851.12211,37854.3548,38085.50148,36953.7398
Syrian Arab Republic,3363.641973,3548.118181,3488.064452,3405.77948,3147.474806,3221.66417,2957.824587,2914.883513,3196.425395,2820.35109,2945.074061,3085.28052,3401.670661,3479.654519,3647.123394,3759.225512,3829.489114,3806.789781,3953.169558,3720.520844,3725.292538,3815.101901,3857.412739,3808.477318,3908.443443,3954.188693,4055.171228,4123.123446,4232.446906,4295.110704
Tajikistan,,,,,,3286.416544,3295.599574,3152.843307,3480.083994,3161.198995,3063.502279,2785.143418,1941.361032,1597.130944,1238.445799,1069.361034,878.1709626,880.7348963,914.9742793,936.743244,1002.36152,1092.234445,1178.835764,1285.071123,1404.996214,1480.26388,1562.006029,1658.735955,1761.31544,1790.7762
Tanzania,,,,,,,,,,,860.1280529,849.2472343,825.698421,807.9680469,794.5665659,798.4512629,811.6786235,818.4853976,827.6891423,846.3106558,865.7926674,894.2774962,933.5165288,971.067961,1019.157408,1064.575162,1104.948311,1150.767092,1201.271471,1237.122733
Thailand,2230.88151,2310.527223,2380.612823,2459.535634,2548.038498,2616.1475,2713.340912,2924.729901,3264.881833,3611.901107,3961.070725,4243.055997,4526.80228,4840.42175,5217.212613,5644.504431,5930.212858,5810.365071,5167.801904,5360.561684,5568.104343,5630.580014,5860.843738,6202.576189,6519.704805,6750.936237,7038.471388,7333.379202,7468.602347,7260.040249
Timor-Leste,,,,,,,,,,,,,,,,,,,,772.3551131,873.5600906,747.37639,737.0783717,704.6180814,700.54926,713.4847066,647.9895633,675.2198404,740.2968498,730.9329424
Togo,1083.003659,1012.119899,940.6531698,856.4146853,870.3623417,885.743724,868.5942945,843.6240533,870.8032196,879.1297204,853.0043844,826.3092787,775.8040027,644.3002516,723.1272859,758.5152574,799.7531571,883.5875504,832.9415841,824.5555018,792.2359145,767.926657,778.1839073,778.866421,782.3000341,772.0294157,782.1899823,777.3677355,771.9874428,772.1574002
Tonga,,2519.276839,2664.42696,2751.944228,2831.954647,3038.990469,3108.543588,3192.895849,3114.705663,3104.978558,3020.766445,3193.610276,3180.674364,3279.10489,3422.830617,3543.966626,3529.201467,3496.833155,3599.407773,3741.472207,3845.674969,3961.417203,4078.934749,4152.898262,4165.013367,4097.88307,4095.575808,4025.46251,4087.293492,4055.026522
Trinidad and Tobago,15254.43746,15679.23368,16015.66412,14280.55138,13240.94414,12524.56391,11989.02195,11354.87939,10845.94963,10696.85397,10791.05381,11001.74557,10737.44011,10498.53157,10791.25577,11143.34881,11515.92678,11766.5219,12622.39731,13120.69271,13869.96365,14383.48115,15481.04071,17654.74268,18983.92125,20013.89973,22632.20374,23583.31274,24032.14907,23220.6799
Tunisia,3616.617773,3716.387207,3602.419245,3674.986296,3810.426944,3904.891841,3729.088484,3879.513815,3796.902331,3814.159867,4018.561609,4093.245848,4323.509856,4332.705972,4390.293086,4422.253701,4669.563888,4856.46992,5024.291242,5259.375352,5444.364913,5647.462387,5677.299347,5957.715896,6258.581552,6444.814158,6743.003264,7101.778766,7357.524857,7511.953741
Turkey,5693.721942,5840.91667,5919.067499,6082.249054,6357.989144,6497.948744,6823.696618,7336.998071,7376.394673,7270.097878,7806.212975,7725.649415,7973.457029,8434.375032,7901.654396,8378.114768,8843.409005,9353.261972,9411.074953,8948.993997,9408.889075,8743.295598,9152.749972,9505.241444,10258.95685,10977.29346,11584.44077,11973.16201,11903.58093,11208.83698
Turkmenistan,,,,,,,,3784.834557,4097.844657,3822.973405,3749.041401,3473.878278,3196.533798,2797.444821,2255.148851,2047.115422,1875.392552,1638.528697,1725.562448,1984.277729,2322.197817,2757.200173,3146.138681,3629.205535,4190.767752,4668.107639,5128.799766,5657.151012,6169.062723,6576.189828
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,535.2439293,548.9071674,529.8273176,495.405892,480.1334187,481.3026519,502.1925329,514.928315,528.9938723,539.2260842,538.9284647,564.626033,581.4953199,628.1316888,664.0849194,676.9392696,688.9294035,765.4694231,765.4127744,780.0877996,821.5141958,846.8789304,875.5967396,901.1871457,966.3077797,1013.889642,1066.698436,1105.271998
Ukraine,,,,,,,,8174.841161,8347.540215,8628.644556,8062.604909,7369.084342,6635.243035,5688.149283,4405.423362,3898.653432,3540.064453,3465.2924,3429.970333,3455.539826,3696.438272,4077.302237,4332.156404,4777.992602,5396.917319,5583.399175,6031.629136,6547.084842,6720.86623,5736.995169
United Arab Emirates,95434.18305,90478.8283,77443.46532,68879.88683,67966.92243,59933.33275,45941.40039,46099.12765,42522.94754,45687.45529,50885.65704,48397.60177,47214.42961,44435.15114,45216.90026,46167.91645,46272.20971,46547.56966,45782.71811,44921.89459,44640.92411,43064.46914,42004.04306,44821.87426,47078.40657,48992.43698,51449.16524,52944.2007,54142.84129,52434.94412
United Kingdom,18424.67877,18174.66869,18561.61411,19227.73852,19710.00604,20373.24541,21141.71716,22059.25884,23117.8964,23583.83945,23696.69994,23294.58867,23265.74694,23725.78995,24678.40448,25364.4886,26029.98332,26821.71473,27708.24774,28575.00493,29587.9708,30205.36143,30724.94028,31459.89848,32219.98965,32730.65437,33454.18299,34099.11288,34047.74449,32146.75561
United States,25531.08153,25924.53785,25170.0739,26067.18793,27701.8976,28586.43937,29294.59925,29953.07258,30899.51289,31700.15275,31926.14463,31419.7509,32042.30569,32530.90387,33456.59495,33903.28905,34779.54224,35911.78661,37057.64644,38418.50632,39577.63351,39601.93908,39944.19814,40588.16642,41652.84632,42534.47979,43256.53983,43662.14472,43260.87907,41761.07638
Uruguay,7811.471836,7881.687944,7066.744929,6300.229784,6188.755629,6239.789148,6746.906353,7240.984687,7302.518402,7336.269729,7309.853992,7517.250919,8056.969001,8212.08354,8746.03714,8555.993006,8984.786925,9690.979699,10074.46591,9833.916333,9608.985184,9218.632066,8505.409073,8586.845145,9021.480849,9682.791069,10074.95708,10796.01907,11681.82895,11976.56007
Uzbekistan,,,,,,,,1881.28554,2004.369476,2017.561843,2002.209123,1950.327787,1691.761005,1615.713718,1501.921031,1461.751614,1458.437576,1505.622502,1545.291721,1588.686109,1632.331473,1679.293611,1725.401457,1777.061236,1891.940986,2000.937289,2121.192891,2289.68253,2455.010423,2610.532143
Vanuatu,2818.361372,2862.732306,3093.350584,3440.03626,3683.635229,3633.948871,3544.789421,3361.796372,3225.056148,3192.031237,3470.699287,3477.799366,3461.768538,3384.603685,3589.425819,3537.003934,3543.338747,3649.204022,3740.343059,3687.456142,3820.451195,3606.263994,3365.718881,3395.289805,3448.334616,3528.908859,3684.464996,3832.621884,3973.443572,4030.324656
"Venezuela, RB",11551.92129,11155.91715,10599.85259,9907.81418,9772.185707,9529.238903,9887.438,9985.57335,10310.6532,9204.583903,9573.957133,10272.98488,10651.91714,10447.60994,9983.758149,10161.70546,9934.731517,10357.31655,10186.34413,9395.975942,9564.471583,9707.821921,8688.500209,7872.955266,9151.185286,9924.462109,10721.07764,11404.35133,11756.32343,11189.99329
Vietnam,,,,,789.6757663,803.3493158,806.829445,815.4269754,836.7960486,877.464277,902.3576034,936.2593858,996.8081396,1056.473302,1128.504216,1214.136134,1303.951892,1388.572227,1448.271725,1497.928466,1597.116892,1684.446044,1780.143335,1883.074491,2001.815613,2142.735242,2290.654469,2454.657409,2577.602219,2681.573081
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,1776.543449,1728.615963,1782.918944,1767.163717,1724.633775,1847.682147,1888.979966,1973.314405,2038.324916,2033.862599,2062.293301,2094.913417,2114.119757,2117.263043,2138.577901,2193.964919,2199.925307,2208.065678,2223.865157,2242.542973
Zambia,1529.595831,1571.823906,1478.771359,1403.585259,1354.688717,1333.488476,1301.448589,1295.163418,1334.724113,1281.697747,1238.329086,1202.684961,1149.026814,1193.434592,1060.479336,1001.90861,1041.253511,1045.023691,996.8200284,991.4992381,1000.797352,1024.737721,1034.570808,1063.42247,1096.097988,1126.950121,1168.836014,1211.620779,1251.053488,1298.727284
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
